compound,ra,rb,fe,bg,a,b,c,shape
NdPbO3,1.35,0.78,-1.614,0.0,4.187,4.187,4.187,cubic
PtIrO3,0.67,0.63,0.158,0.0,3.893,3.893,3.893,cubic
NiZnO3,0.59,0.74,0.062,0.0,3.775,3.775,3.775,cubic
GePrO3,0.73,0.85,-1.336,0.0,4.454,4.454,4.454,cubic
ErEuO3,1.06,0.95,-2.07,0.0,4.247,4.247,4.247,cubic
ThPrO3,1.21,0.92,-2.444,0.0,4.493,4.493,4.493,cubic
HfRuO3,0.83,0.68,-1.117,0.0,3.866,3.866,3.866,cubic
DyHgO3,1.08,1.11,-1.177,0.0,4.185,4.185,4.185,cubic
RuTmO3,0.62,0.96,-1.1,0.0,4.209,4.209,4.209,cubic
FeHfO3,0.92,0.71,-2.22,0.0,4.043,4.043,4.043,cubic
PaInO3,0.95,0.8,-1.51,0.0,4.082,4.082,4.082,cubic
ZrZnO3,0.89,0.74,-1.63,0.0,3.78,3.78,3.78,cubic
OsIrO3,0.57,0.63,0.55,0.0,3.919,3.919,3.919,cubic
CsBeO3,1.88,0.45,-0.663,0.0,3.8,3.8,3.8,cubic
MnCoO3,0.96,0.53,-1.044,0.0,3.686,3.686,3.686,cubic
RhSbO3,0.67,0.6,-0.553,0.0,3.982,3.982,3.982,cubic
CuNiO3,0.73,0.48,-0.121,0.0,3.663,3.663,3.663,cubic
DyPaO3,1.08,0.91,-2.38,0.0,4.461,4.461,4.461,cubic
CoPdO3,0.9,0.62,0.041,0.0,3.887,3.887,3.887,cubic
AlPdO3,0.54,0.76,-0.438,0.0,3.897,3.897,3.897,cubic
NpYO3,0.98,0.9,-3.112,2.074,4.287,4.287,4.287,cubic
RuTaO3,0.68,0.68,-1.532,0.0,3.969,3.969,3.969,cubic
MgCuO3,0.89,0.68,-0.976,0.0,3.672,3.672,3.672,cubic
BeZrO3,0.45,0.72,-1.735,0.0,4.086,4.086,4.086,cubic
ZrPaO3,0.89,0.91,-1.884,0.0,4.382,4.382,4.382,cubic
NdErO3,1.27,0.89,-3.182,1.892,4.24,4.24,4.24,cubic
ZrGeO3,0.89,0.53,-1.553,0.0,3.818,3.818,3.818,cubic
ThNdO3,1.21,0.98,-2.53,0.0,4.463,4.463,4.463,cubic
ErYO3,1.06,0.9,-2.821,1.447,4.254,4.254,4.254,cubic
